set I:= 1..79;  #set of clusters																																																																														
set J:=	1..4;   #set of sites																																																																													
set T:=	1..52;  #set of periods																																																																														
set R{j in J}:=	1..30;  #set of piles																																																																														
			
#plant costs																																																																												
param F:=																																																																															
1	10626260																																																																														
2	9882280																																																																														
3	9779160																																																																														
4	9693290;																																																																														


#collection costs																																																																															
param A:																																																																													
	1	2	3	4	:=																																																																										
1	46	47	47	114																																																																											
2	72	74	65	132																																																																											
3	71	72	64	132																																																																											
4	52	53	44	113																																																																											
5	55	56	47	113																																																																											
6	52	53	44	112																																																																											
7	51	52	43	111																																																																											
8	51	52	43	112																																																																											
9	51	52	43	111																																																																											
10	50	51	42	111																																																																											
11	51	52	43	112																																																																											
12	50	51	42	111																																																																											
13	50	51	42	109																																																																											
14	48	50	41	109																																																																											
15	48	50	41	109																																																																											
16	50	51	42	111																																																																											
17	48	50	41	108																																																																											
18	50	51	43	111																																																																											
19	48	50	41	109																																																																											
20	46	47	38	107																																																																											
21	41	42	39	107																																																																											
22	41	42	39	107																																																																											
23	48	50	41	109																																																																											
24	50	51	42	109																																																																											
25	48	50	41	108																																																																											
26	47	48	39	107																																																																											
27	47	48	39	108																																																																											
28	46	47	39	107																																																																											
29	42	43	41	108																																																																											
30	39	41	37	105																																																																											
31	44	46	43	109																																																																											
32	43	44	42	108																																																																											
33	43	44	42	108																																																																											
34	43	44	41	107																																																																											
35	42	43	41	107																																																																											
36	42	43	39	105																																																																											
37	39	41	38	105																																																																											
38	41	42	38	105																																																																											
39	38	39	37	104																																																																											
40	38	39	37	104																																																																											
41	39	41	37	105																																																																											
42	38	39	36	104																																																																											
43	38	39	36	104																																																																											
44	37	38	34	102																																																																											
45	38	39	37	99																																																																											
46	37	38	37	97																																																																											
47	38	39	36	104																																																																											
48	37	38	34	103																																																																											
49	37	38	36	103																																																																											
50	34	36	33	100																																																																											
51	36	37	33	102																																																																											
52	36	38	37	97																																																																											
53	36	37	34	102																																																																											
54	34	36	33	100																																																																											
55	34	36	36	94																																																																											
56	34	36	33	100																																																																											
57	34	36	34	95																																																																											
58	33	34	32	99																																																																											
59	34	36	36	95																																																																											
60	32	33	33	91																																																																											
61	32	33	34	91																																																																											
62	32	33	34	94																																																																											
63	44	46	43	111																																																																											
64	37	38	41	97																																																																											
65	38	39	29	98																																																																											
66	37	38	42	98																																																																											
67	36	37	42	95																																																																											
68	34	36	38	94																																																																											
69	39	41	30	100																																																																											
70	39	41	29	100																																																																											
71	33	34	38	94																																																																											
72	30	32	36	90																																																																											
73	32	33	37	93																																																																											
74	33	34	36	94																																																																											
75	33	34	36	94																																																																											
76	32	33	37	93																																																																											
77	50	51	42	109																																																																											
78	39	41	37	104																																																																											
